0,Sugary snacks
1,fr:Boulange
2,Meals
3,Chips and fries
4,Dairies
5,Plant-based foods and beverages
6,Groceries
7,Pates-a-tartiner-aux-noisettes-et-au-cacao
8,Spreads
9,Beverages
10,Fruit juices
11,Meats
12,Salty snacks
13,Dietary supplements
14,Cake-mix
15,Mashed-potatoes
16,Granola-mix
17,Mix
18,Coconut-creams
19,Coconut-waters
20,Seafood
21,Beef-jerky
22,Banana-nut-loaf
23,Breakfasts
24,Desserts
25,Balsamic-vinaigrette-dressing
26,Macaroni
27,Penne
28,Peanut-butter-bliss
29,Beef-broth
30,Farming products
31,Soymilk
32,Genoa-salami
33,Cottage-cheese
34,Popping-corn
35,Goat-milk-cheese
36,Salsa
37,Garlic-mashed-potatoes
38,Chocolate-with-raspberries
39,Tartar-sauce
40,Whole-wheat-tortillas
41,Sweeteners
42,Frozen foods
43,Canned-precooked-meat
44,Precooked-meat
45,Potato-crips
46,Baked-beans
47,Senate-bean-soup
48,Freeze-dried foods
49,Pierogies
50,Black-truffle-oil
51,Coconut-cream
52,Ramen
53,Turkey-bacon
54,Stuffing
55,Snacks
56,fr:Produits-sous-licence
57,Hot-cocoa-mix
58,Aliments-d-origine-vegetale
59,Canned foods
60,fr:Tartinade-amandes-et-chocolat-noir
61,Cinnamon-raisin-bagels
62,Pancakes-and-waffles
63,Hot-cocoa-powder
64,fr:Confit-de-dinde
65,Pies
66,fr:Breuvage
67,Cheddar-baguettes
68,White-quinoa
69,fr:Croustilles-chips
70,fr:Biscuits-aux-brisures-de-chocolat
71,Marinara-sauce
72,Breaded products
73,fr:Kraft
74,fr:Melange-a-soupe
75,fr:Mayonnaise-a-l-huile-d-olive
76,fr:Miche-de-pain-fait-d-huile-d-olive
77,Feta-cheese
78,Matzos
79,es:Sopas-instantaneas
80,Anchovy-paste
81,Cream-horseradish
82,Horseradish-sauce
83,Hot-dog-mustard
84,Blue-cheese-yogurt-dressing
85,Bruschetta
86,Cactus
87,Fat-free-milk
88,Hot-fudge
89,Prosciutto
90,fr:Tartinade-de-fromage-fondu
91,Capers
92,Pickles
93,Hawaiian-sweet-rolls
94,fr:Pain-grains-germes-entiers
95,Flour-tortillas
96,Mozzarella-sticks
97,Corn-tortilla-chips
98,Cherry-pie-filling
99,Coffee-creamer
100,Salsa-chips
101,Goat-milk-butter
102,Juices
103,Palm-sugar
104,Nonpareil-capers
105,Cashews
106,Juice-drinks
107,Snack
108,Waffles
109,Whipping-cream
110,fr:Quartiers-de-pamplemousse-rouge-prepare-dans-de-l-eau-legerement-sucree
111,Diced-tomatoes
112,Fruit-and-nut-mix
113,Milk-chocolate-filled-with-caramel
114,Green olives
115,Chocolate-mints
116,Dry-seasoning-mix
117,Marshmallow-creme
118,de:Blutenwasser
119,de:Rosenwasser
120,fr:Super-fruit
121,fr:Viande-de-porc-preparee
122,fr:Burgers-de-boeuf
123,Tortillas
124,fr:Marmelade-aux-figues
125,Pain-pita-sucres
126,fr:Preparation-cremeuse-de-soya-pour-cuisiner
127,fr:Pizza-toute-garnie-avec-croute-a-l-huile-d-olive
128,fr:Le-chenevis-designe-la-graine-de-chanvre
129,Seed-style-mustard
130,Vinegars
131,Sunflower-spread
132,Chocolat
133,fr:Cretons
134,fr:Galette-de-boeuf
135,Tortilla-chips
136,Indian-food
137,Curries
138,Kale-salads
139,fr:Beignes
140,Goat-milk
141,fr:Tartinade
142,fr:Jus-de-pommes-et-fraises
143,Indian
144,Breakfast-granola
145,Almond-milk-yogurt
146,Chips
147,Cheese-analogues
148,fr:Sans-produit-laitier
149,fr:Simili-yogourt
150,Chocolats
151,Hidden-valley
152,Pecans
153,fr:Oleagineux
154,fr:Barre-nutritive
155,fr:Saucisson-aux-noix
156,Fresh foods
157,Olives
158,fr:Beurre-de-noix-avec-noix-de-cajou
159,es:Atun
160,es:Pan-dulce
161,es:Crema-de-cacahuate
162,es:Dulce-de-leche
163,pt:Biscoito-salgado
164,fr:Biscoito
165,fr:Sirop-d-erable-en-flocons
166,fr:Turrones
167,nl:Broodbeleggen
168,fr:Pois-verts-au-wasabi
169,fr:Vermicelle
170,Spring-roll-pastry
